participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.ip_address,participant.time_started,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.aa_treatment,player.ra_treatment,player.action1_b,player.green_red,player.a_or_b,player.payoff,group.id_in_subsession,subsession.round_number,session.code,session.label,session.experimenter_name,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,h07wetk2,,0,26,25,v3_ra_outro,Dropouts,10.45.110.114,2019-03-11 14:29:46.362915+00:00,1,A1HKCTDOTL6C9I,3YOH7BII0AXBDOMSEXIUTBFCSR1KVX,0.00,11,0,1,0,12,71,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
12,80a3dsx4,,0,26,25,v3_ra_outro,Dropouts,10.13.244.2,2019-03-11 14:29:46.352856+00:00,1,A191V7PT3DQKDP,3PEIJLRY6UJUCDL43Q2F576SV9IXW9,1.00,12,0,1,0,6,15,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
13,umd4sz8c,,0,26,25,v3_ra_outro,Dropouts,10.7.252.94,2019-03-11 14:29:46.734292+00:00,1,A1Q68M0X4YXHKH,3STRJBFXOXHW0WI392IFSTRRV6LKTH,1.00,13,0,1,0,93,56,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
14,6p2fwqt8,,0,26,25,v3_ra_outro,Dropouts,10.61.183.62,2019-03-11 14:29:47.163890+00:00,1,AKNYT1NTK2UFK,308Q0PEVB93MAMJ1BTSMODB29VTI94,0.00,14,0,1,1,4,21,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
15,o1zuu26j,,0,5,25,v3_ra_intro,Comprehension2,10.31.252.147,2019-03-11 14:29:46.892036+00:00,1,A3G1X3IP2VM4IK,3P59JYT76MA1JGEDKWCBSX5XE602TE,0.00,15,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
16,325tbf0a,,0,26,25,v3_ra_outro,Dropouts,10.37.194.140,2019-03-11 14:29:46.979239+00:00,1,A2YOVBJ9EXAI8W,3C6FJU71TRJ6KEM9DM9G6XS4CZ1UYD,3.00,16,0,1,1,44,46,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
17,wqvyn6yi,,0,1,25,v3_ra_intro,Introduction,10.67.146.31,2019-03-11 14:29:47.300895+00:00,1,A2B6WQG0A9CKXQ,3B837J3LDPMH80IJAMMMJ0HJOF1SRT,0.00,17,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
18,0k47dzq9,,0,26,25,v3_ra_outro,Dropouts,10.45.71.96,2019-03-11 14:29:47.533495+00:00,1,AU2NVT51E749C,3B4YI393VAMT9FIWPBMR9AMFAHKSSH,0.00,18,0,1,0,19,70,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
19,p9tycqhe,,0,26,25,v3_ra_outro,Dropouts,10.187.103.102,2019-03-11 14:29:48.245937+00:00,1,A2N825X4R5H7EK,3907X2AHF1V3ROL63F3RNN40P3F2P9,1.00,19,0,1,0,19,59,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
20,3lfe4tf7,,0,26,25,v3_ra_outro,Dropouts,10.45.110.114,2019-03-11 14:29:47.971961+00:00,1,AGFYWCPRQIB6O,3E47SOBEYRMO8KQ4ND2DQ3CAFGWICL,0.00,20,0,1,0,15,24,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
21,ehg47z0x,,0,26,25,v3_ra_outro,Dropouts,10.113.227.235,2019-03-11 14:29:48.740499+00:00,1,ARLGZWN6W91WD,3SB5N7Y3O4UQI1PTL99QAQXTRE80GJ,1.00,21,0,1,0,22,78,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
22,gyqliyri,,0,26,25,v3_ra_outro,Dropouts,10.13.197.150,2019-03-11 14:29:48.922326+00:00,1,A2M3FPQF852HW4,3YHH42UU5C564T3UW066NI21NVTL09,3.00,22,0,1,1,9,43,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
23,4fe8jzle,,0,1,25,v3_ra_intro,Introduction,10.152.213.86,2019-03-11 14:29:49.072003+00:00,1,AEGSLKFQL4GKV,3KGTPGBS6YBGJTT2K12LXTRZXK72U5,0.00,23,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
24,rw7z5hic,,0,26,25,v3_ra_outro,Dropouts,10.33.235.158,2019-03-11 14:29:49.165155+00:00,1,AI8QGPRA0TZL5,3WS1NTTKEZ2K41TYAP38S5XHQZ80FK,0.00,24,0,1,1,20,21,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
25,7x3ncexp,,0,26,25,v3_ra_outro,Dropouts,10.45.52.80,2019-03-11 14:29:49.768705+00:00,1,A1ERMRNNR0CZ2Y,3VW04L3ZLUW91DQUDVY17QKZ4BOXX2,0.00,25,0,1,0,1,100,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
26,7ygasizq,,0,26,25,v3_ra_outro,Dropouts,10.35.211.120,2019-03-11 14:29:49.918544+00:00,1,A1VZSFHTU51JP0,36U2A8VAG2PSHIHXJ85E0AJ6A83KY6,0.00,26,0,1,1,15,36,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
27,fg8uxayo,,0,26,25,v3_ra_outro,Dropouts,10.29.81.254,2019-03-11 14:29:50.569252+00:00,1,AT3C00TKZK13L,32AT8R96GMZ9OSA0EGHROB43VE5SUX,0.00,27,0,1,1,7,16,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
28,nfjznp69,,0,26,25,v3_ra_outro,Dropouts,10.158.224.13,2019-03-11 14:29:50.503736+00:00,1,AIZTLQM7HHQN6,3V0Z7YWSIZQGW8I2PRCQTFTIBRG2VU,0.00,28,0,1,1,38,82,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
29,cwma3kyk,,0,26,25,v3_ra_outro,Dropouts,10.37.131.195,2019-03-11 14:29:50.938977+00:00,1,A37XJVQF62ZYC,3X31TUMD7YC6BIOCSJA61NLBSNZL1C,0.00,29,0,1,0,28,41,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
30,i25c02ol,,0,1,25,v3_ra_intro,Introduction,10.16.189.159,2019-03-11 14:29:51.610808+00:00,1,A2O6G24WCC6I59,3OF2M9AATHESM8R2FU7XEHS8G27KZX,0.00,30,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
31,6di07wbs,,0,26,25,v3_ra_outro,Dropouts,10.13.249.247,2019-03-11 14:29:51.114927+00:00,1,A1B2V27QSGPT6W,3JNQLM5FT5CD0368BNAK66VGKTDL2T,3.00,31,0,1,1,15,39,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
32,oqtk3qm1,,0,26,25,v3_ra_outro,Dropouts,10.31.67.113,2019-03-11 14:29:51.192981+00:00,1,A11P1OS26E6AMO,3F1567XTNXVZRK7KO1XVXF2O05AQ9F,0.00,32,0,1,1,13,50,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
33,j1veg0om,,0,26,25,v3_ra_outro,Dropouts,10.179.246.22,2019-03-11 14:29:51.302013+00:00,1,A2IQ0QCTQ3KWLT,3IKZ72A5B56NPXL5BV563HTUYSINFH,0.00,33,0,1,0,23,43,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
34,8ot7bojb,,0,26,25,v3_ra_outro,Dropouts,10.147.13.174,2019-03-11 14:29:51.337355+00:00,1,APZEIAO75NCHM,336KAV9KYRIX02D7U2ZA0EXCT8I2Y3,0.00,34,0,1,1,36,60,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
35,e6guskvq,,0,26,25,v3_ra_outro,Dropouts,10.31.82.156,2019-03-11 14:29:51.328258+00:00,1,A2SF0TUK6XTPCO,3DEL4X4EL7BY1IG4IRK3Q4R86HIXY8,1.00,35,0,1,0,49,84,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
36,yrdlgc2u,,0,26,25,v3_ra_outro,Dropouts,10.61.153.238,2019-03-11 14:29:52.542459+00:00,1,A2WP3AXKCOG1DG,3X0H8UUIT2EMGWZ59GWS6ZP0GUGSWW,0.00,36,0,1,0,4,7,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
37,jkyo2sqj,,0,26,25,v3_ra_outro,Dropouts,10.33.231.55,2019-03-11 14:29:52.181502+00:00,1,ARLSOH5YMGJGN,336KAV9KYRIX02D7U2ZA0EXCT8HY2Y,1.00,37,0,1,0,99,99,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
38,qxnp8hv4,,0,26,25,v3_ra_outro,Dropouts,10.45.83.39,2019-03-11 14:29:52.150069+00:00,1,AKPXWXJFLHM08,3YHH42UU5C564T3UW066NI21NVU0LP,0.00,38,0,1,0,56,25,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
39,mo23xeqy,,0,26,25,v3_ra_outro,Dropouts,10.41.163.148,2019-03-11 14:29:52.664710+00:00,1,ATCD6QH1YV8RL,3HMVI3QICKIQBHVBBYZWVVN7123Y1H,1.00,39,0,1,1,73,72,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
40,nc9novko,,0,26,25,v3_ra_outro,Dropouts,10.146.200.157,2019-03-11 14:29:52.858606+00:00,1,A7T06JMP6BTDS,3TXMY6UCAFE1PIEN0L7MZ53W6QDQCW,1.00,40,0,1,0,15,23,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
41,c844tepb,,0,26,25,v3_ra_outro,Dropouts,10.149.119.155,2019-03-11 14:29:54.241723+00:00,1,A2XRKWINJ8HBQU,3F6HPJW4JEQTBXI7F1HMFHCWI0I2W4,0.00,41,0,1,0,14,10,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
42,74yv3aer,,0,26,25,v3_ra_outro,Dropouts,10.33.161.8,2019-03-11 14:29:53.522100+00:00,1,AAJ1ZQECDZBEE,3L0KT67Y8F6Q51U5OHEGRWAGR2GSYV,0.00,42,0,1,1,7,96,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
43,n2p7bwru,,0,5,25,v3_ra_intro,Comprehension2,10.11.254.39,2019-03-11 14:29:53.789953+00:00,1,A2UIGDOLX5RV95,3O7L7BFSHFF35IAIJ488GRCD0S9IEE,0.00,43,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
44,qcjb0is6,,0,26,25,v3_ra_outro,Dropouts,10.16.229.125,2019-03-11 14:29:54.107545+00:00,1,AGC307XG0RIR4,3KWTYT0871T5Z0PVT6CI4DYS434L5U,0.00,44,0,1,1,18,36,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
45,4pkinni0,,0,26,25,v3_ra_outro,Dropouts,10.37.131.195,2019-03-11 14:29:54.564435+00:00,1,A2Y7C4MW55HGVF,3634BBTX0PKVBWAEEFSEY9XDCTOIFW,3.00,45,0,1,0,3,0,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
46,0xwutv3u,,0,26,25,v3_ra_outro,Dropouts,10.143.140.66,2019-03-11 14:31:12.284459+00:00,1,A1KUW26JP1SB9,3CN4LGXD5YE73GSUYGIYTTUADMDY4U,0.00,46,0,1,1,39,80,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
47,m81u5i08,,0,26,25,v3_ra_outro,Dropouts,10.41.244.207,2019-03-11 14:29:55.703702+00:00,1,A1AFYCDF0XTXC9,3R8YZBNQ9I8VD1JR94ZBJJBI5FMQ73,3.00,47,0,1,0,77,0,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
48,jig1mwr4,,0,1,25,v3_ra_intro,Introduction,10.165.159.217,2019-03-11 14:30:26.521194+00:00,1,A20IA63WXHF683,30JNVC0ORAAS6QP3MDLNAW0CJIIQH5,0.00,48,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
49,zi6lewml,,0,26,25,v3_ra_outro,Dropouts,10.47.209.93,2019-03-11 14:29:55.810171+00:00,1,A3UN1F1EOHKKE6,3TU5ZICBRERZDFOAJ9RHXJ7DGZSQ8Q,3.00,49,0,1,1,14,49,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
50,a2f0f46m,,0,26,25,v3_ra_outro,Dropouts,10.31.67.113,2019-03-11 14:29:56.749514+00:00,1,A1EIVUU0RIGPFT,34J10VATJGOS2L0NSV38A81RJVXQIY,0.00,50,0,1,0,49,58,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
51,gvzalb5v,,0,26,25,v3_ra_outro,Dropouts,10.65.253.27,2019-03-11 14:29:56.442484+00:00,1,A1CE2XPYCDRHVZ,3AZHRG4CU5APOPD5QU26RW8KN9330E,0.00,51,0,1,0,33,69,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
52,56k9sasi,,0,26,25,v3_ra_outro,Dropouts,10.47.177.168,2019-03-11 14:29:57.198703+00:00,1,A39GADIK8RLMVC,3RWE2M8QWI0WST6F8DML0A6QSQU0NR,1.00,52,0,1,1,77,37,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
53,yajl6lic,,0,26,25,v3_ra_outro,Dropouts,10.13.215.196,2019-03-11 14:29:57.398376+00:00,1,AHPOOKYE7V04D,3HFNH7HEMI4E6UUS2735PWOB4I5QG6,0.00,53,0,1,0,17,40,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
54,rob7oyzx,,0,26,25,v3_ra_outro,Dropouts,10.111.160.147,2019-03-11 14:29:57.927726+00:00,1,A9O273N0X06JS,3VHHR074H47KM43EHZRF2XCOV9ZL79,0.00,54,0,1,1,17,42,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
55,xl0p0wl9,,0,26,25,v3_ra_outro,Dropouts,10.47.244.172,2019-03-11 14:29:58.316295+00:00,1,A397QMUM40C4SH,3FTOP5WARGE093FUTFUT73P9J6P0JN,1.00,55,0,1,0,12,25,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
56,zm7delpo,,0,26,25,v3_ra_outro,Dropouts,10.67.202.134,2019-03-11 14:29:58.432108+00:00,1,AYI52R70VMEG5,3V0Z7YWSIZQGW8I2PRCQTFTIBRFV2M,0.00,56,0,1,0,0,3,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
57,ewvbywt3,,0,26,25,v3_ra_outro,Dropouts,10.30.98.203,2019-03-11 14:29:59.254311+00:00,1,A1PMZUBGXFANCI,3FFJ6VRIL2E4ESVOBX9TV2A96R00IB,3.00,57,0,1,0,50,34,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
58,kw06jt7l,,0,26,25,v3_ra_outro,Dropouts,10.79.217.135,2019-03-11 14:29:59.668179+00:00,1,A207IHY6GERCFO,3OUYGIZWR8OWVEISOSZD4ZBLS5V0PN,0.00,58,0,1,1,21,81,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
59,f7xuxnxr,,0,4,25,v3_ra_intro,Comprehension1_check,10.61.221.178,2019-03-11 14:30:00.151991+00:00,1,A2P50MBRLUPEMD,3U8YCDAGXQ6HVQJ7O5E2441VX1H0QE,0.00,59,0,1,,,,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
60,qcfocg1k,,0,26,25,v3_ra_outro,Dropouts,10.156.45.112,2019-03-11 14:30:00.062191+00:00,1,A3G5GWT0EON3Y,3JAOYWH7VJUO0NR7WWPZGT3UQZNL9L,0.00,60,0,1,1,0,100,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
61,btlo3050,,0,26,25,v3_ra_outro,Dropouts,10.81.252.246,2019-03-11 14:30:00.617552+00:00,1,A2PMVVXWGRFSEH,39L1G8WVWRHPVEYNMD6651RUS1931H,0.00,61,0,1,0,5,52,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
62,116w8d0t,,0,26,25,v3_ra_outro,Dropouts,10.45.225.141,2019-03-11 14:30:00.957135+00:00,1,A15Q49F252IO5X,388U7OUMF8RH7RY71K329UB0TNJ0RF,0.00,62,0,1,0,73,14,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
63,12z19448,,0,26,25,v3_ra_outro,Dropouts,10.30.98.203,2019-03-11 14:30:00.413320+00:00,1,A1KXESMB9K7504,386CSBG1O0CC915MQUUJD5BMA42Q64,0.00,63,0,1,1,0,0,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
64,v3gsbqbc,,0,26,25,v3_ra_outro,Dropouts,10.7.217.98,2019-03-11 14:30:00.812874+00:00,1,A2EPBSY0VPI38S,39GAF6DQWSQ97N066NCCOWJDJL1V15,0.00,64,0,1,0,12,9,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
65,nwu9wata,,0,26,25,v3_ra_outro,Dropouts,10.41.244.207,2019-03-11 14:30:01.292367+00:00,1,A1EWWETFXX1U51,3AUQQEL7U6J90YFOA48CAR03ETW0V8,1.00,65,0,1,0,47,41,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
66,72lvfdcz,,0,26,25,v3_ra_outro,Dropouts,10.16.253.130,2019-03-11 14:30:01.964545+00:00,1,A28F1ZWZ9H0RHA,339ANSOTR6S6RI2SFQJBEMPIKP5IKY,0.00,66,0,1,0,13,34,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
67,1u9qijej,,0,26,25,v3_ra_outro,Dropouts,10.109.243.133,2019-03-11 14:30:02.177990+00:00,1,A1ZD8RU6YB0VEU,3C5W7UE9CGGY71RQZOWSW941X74XMI,1.00,67,0,1,0,52,54,0.00,1,1,vlc1mlvn,,,3O0M2G5VC6SPGWMS01LG5S5UHJK94B,3LCM1J6T2D89H06RJYUOYQXN49JYCR,,0
